SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
IOC,EQ,177.9,178.5,169.7,170.45,170.45,176.6,14001109,2396627452.25,02-APR-2018,81859,INE242A01010
IRB,EQ,227,231.55,225.45,229.65,231.3,223,1491285,340449913.3,02-APR-2018,22529,INE821I01014
ITC,EQ,257,258.95,255.45,258.25,258.8,255.5,7029064,1804685060.15,02-APR-2018,85556,INE154A01025
IBULHSGFIN,EQ,1255.7,1307.35,1243.85,1299.2,1301,1243.85,2499894,3199337261.25,03-APR-2018,45804,INE148I01020
ICICIBANK,EQ,261.4,271.5,261.4,270.05,270.2,261.85,40773239,10839355784.9,03-APR-2018,201979,INE090A01021
ICICIPRULI,EQ,384,398.6,384,396.4,396.1,384.7,903448,356577193.6,03-APR-2018,21390,INE726G01019
IDBI,EQ,71.15,73.3,71.15,72.1,72,71.1,25274612,1827559981.4,03-APR-2018,48699,INE008A01015
IDEA,EQ,76.85,78,76.5,77.35,77.45,77.8,7175706,553486436.75,03-APR-2018,23663,INE669E01016
IDFC,EQ,49.9,52,49.65,51.85,51.8,50.2,4705178,240508677.9,03-APR-2018,11964,INE043D01016
IDFCBANK,EQ,48.1,48.9,47.7,48.75,48.85,47.95,4690349,226373623.75,03-APR-2018,18455,INE092T01019
IGL,EQ,279,279.8,273,278.05,279.2,279.35,2453716,677007075.65,03-APR-2018,29793,INE203G01027
INDIACEM,EQ,150.6,153.95,149.65,153.4,153.55,152.7,3309111,501088517,03-APR-2018,19433,INE383A01012
INDIANB,EQ,304.95,312.1,302.75,307.35,307.2,302.1,1341795,412239089.1,03-APR-2018,14917,INE562A01011
INDIGO,EQ,1322.3,1378,1321,1367.85,1366.4,1328.7,861619,1174774822.85,03-APR-2018,31632,INE646L01027
INDUSINDBK,EQ,1795,1841.2,1795,1829.7,1825.5,1804.6,1152587,2108237144.5,03-APR-2018,46048,INE095A01012
INFIBEAM,EQ,153.6,161.9,151.45,158.45,157.85,152.05,34434896,5366231833.15,03-APR-2018,109507,INE483S01020
INFRATEL,EQ,336.5,342.3,334.5,339.15,339,337.65,1165314,394927186.2,03-APR-2018,38084,INE121J01017
INFY,EQ,1134.7,1143.55,1128.1,1140.45,1139.4,1137.15,2038584,2314226757.45,03-APR-2018,114034,INE009A01021
IOC,EQ,171.9,174.6,171.75,174.15,174.55,170.45,8435498,1462804341.25,03-APR-2018,50638,INE242A01010
IRB,EQ,230.5,245,230.5,241.9,241.3,229.65,2832618,678788824.5,03-APR-2018,24251,INE821I01014
ITC,EQ,258,260,257.5,258.5,259.15,258.25,5098212,1318555194.75,03-APR-2018,48970,INE154A01025
IBULHSGFIN,EQ,1301.85,1313.65,1278,1291.8,1288.55,1299.2,3374901,4372713251.1,04-APR-2018,68793,INE148I01020
ICICIBANK,EQ,267.25,273.3,265.5,268.65,268.1,270.05,33486876,9005417811.55,04-APR-2018,211827,INE090A01021
ICICIPRULI,EQ,397,400.95,385.15,388.45,390.75,396.4,1676869,662156684.6,04-APR-2018,30628,INE726G01019
IDBI,EQ,73.3,73.8,69.5,70,70,72.1,32289138,2331783790.1,04-APR-2018,62680,INE008A01015
IDEA,EQ,78,78.4,75.6,76.6,76.45,77.35,7626895,585814301.4,04-APR-2018,22521,INE669E01016
