Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
27-Apr-17,9359.15,9367.15,9322.65,9342.15,215881711,12910.38
28-Apr-17,9340.95,9342.65,9282.25,9304.05,167229353,8673.32
02-May-17,9339.85,9352.55,9269.9,9313.8,166558241,9110.59
03-May-17,9344.7,9346.3,9298.4,9311.95,156342492,7975.14
04-May-17,9360.95,9365.65,9323.25,9359.9,277895923,12379.74
05-May-17,9374.55,9377.1,9272,9285.3,239133531,10466.68
08-May-17,9311.45,9338.7,9297.95,9314.05,179709949,8300.22
09-May-17,9337.35,9338.95,9307.7,9316.85,136417428,7504.66
10-May-17,9339.65,9414.75,9336,9407.3,157363135,8619.06
11-May-17,9448.6,9450.65,9411.3,9422.4,176439840,9289.89
12-May-17,9436.65,9437.75,9372.55,9400.9,159079418,9813.47
15-May-17,9433.55,9449.25,9423.1,9445.4,145163953,7790.97
16-May-17,9461,9517.2,9456.35,9512.25,171709433,9209.89
17-May-17,9517.6,9532.6,9486.1,9525.75,211856040,10726.23
18-May-17,9453.2,9489.1,9418.1,9429.45,199340647,10782.46
19-May-17,9469.9,9505.75,9390.75,9427.9,259861396,11544.77
22-May-17,9480.25,9498.65,9427.9,9438.25,202874757,9432.97
23-May-17,9445.05,9448.05,9370,9386.15,231345629,11553.27
24-May-17,9410.9,9431.9,9341.65,9360.55,218265181,11045.95
25-May-17,9384.05,9523.3,9379.2,9509.75,298147347,16964.26
